
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100

//Trader 0
<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		1,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		1,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		1,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		1,		-1	// Sellvalue -1 means it can not be selled
		Apple,					*,		1,		-1
		Pear,					*,		1,		-1
		Orange,					*,		1,		-1
		Banana,					*,		1,		-1
		Tomato,					*,		1,		-1
		Potato,					*,		1,		-1
		GreenBellPepper,		*,		1,		-1
		Zucchini,				*,		3,		1
		Pumpkin,				*,		8,		3
		AgaricusMushroom,		*,		2,		1
		AmanitaMushroom,		*,		2,		1
		LactariusMushroom,		*,		2,		1
		MacrolepiotaMushroom,	*,		2,		1
		PsilocybeMushroom,		*,		2,		1
		AuriculariaMushroom,	*,		2,		1
		BoletusMushroom,		*,		2,		1
		PleurotusMushroom,		*,		2,		1
	
	<Category> Packaged Food
		PowderedMilk,			*,		80,		-1
		BoxCerealCrunchin,		*,		100,		1
		Rice,					*,		130,		1
		Marmalade,				*,		30,		1
		PeachesCan,				*,		80,		2
		SardinesCan,			*,		50,		2
		TunaCan,				*,		50,		2
		SpaghettiCan,			*,		60,		2
		BakedBeansCan,			*,		60,		2
		TacticalBaconCan,		*,		250,		3		
		ExpainsionMilkBottle,   *,		150,		3
        ExpansionBread1,        *,		150,		3
        ExpansionBread2,        *,		150,		3
        ExpansionBread3,        *,		150,		3
        ExpansionCheese1,       *,		150,		3
        ExpansionCheese2,       *,		150,		3
        ExpansionCheese3,       *,		150,		3
        ExpansionCheese4,       *,		150,		3
	
	<Category> Meat
		ChickenBreastMeat,		S,		20,		10
		GoatSteakMeat,			S,		30,		10
		SheepSteakMeat,			S,		30,		10
		PigSteakMeat,			S,		40,		20
		BoarSteakMeat,			S,		40,		20
		WolfSteakMeat,			S,		40,		20
		DeerSteakMeat,			S,		50,		20
		CowSteakMeat,			S,		50,		20
		Sardines,				S,		70,		40
		Carp,					S,		100,		50
		Mackerel,				S,		100,		50
		
	<Category> Animal Parts
		Bone,					*,		2,		1
		Lard,					*,		2,		1
		Guts,					*,		2,		1
		SmallGuts,				*,		2,		1
		
	<Category> Drinks
		SodaCan_Cola, 			*,		20, 		1
